LAT,LON,YEAR,MO,DY,WS50M_RANGE,WS10M_MIN,WS10M,WS50M,T2M_MAX,QV2M,WS50M_MAX,PRECTOT,T2M,WS10M_RANGE,T2M_MIN,WS10M_MAX,ALLSKY_SFC_SW_DWN,T2MDEW,PS,RH2M,WS50M_MIN,WS2M
4.03161,9.21461,2021,03,03,    4.00,    1.06,    2.18,    2.74,   31.31,   18.47,    5.11,    0.00,   27.69,    2.93,   25.58,    3.99,              5.28,   23.51,   98.21,   77.67,    1.11,    1.60
4.03161,9.21461,2021,03,04,    4.63,    0.58,    1.97,    2.45,   32.81,   18.35,    5.18,    0.00,   28.16,    3.35,   25.51,    3.93,              4.57,   23.44,   98.23,   75.11,    0.55,    1.44
4.03161,9.21461,2021,03,05,    4.60,    0.98,    2.37,    3.06,   31.74,   18.64,    5.53,    0.01,   27.90,    3.18,   25.54,    4.16,              5.74,   23.68,   98.28,   77.45,    0.93,    1.74
4.03161,9.21461,2021,03,06,    2.14,    1.95,    2.40,    3.31,   30.19,   18.56,    4.28,    0.01,   27.31,    1.15,   25.48,    3.10,              4.35,   23.62,   98.48,   79.99,    2.14,    1.77
4.03161,9.21461,2021,03,07,    2.34,    1.50,    2.28,    2.99,   29.51,   18.05,    4.35,    1.73,   26.70,    1.94,   24.86,    3.44,              5.03,   23.16,   98.50,   80.68,    2.01,    1.66
4.03161,9.21461,2021,03,08,    2.67,    1.79,    2.36,    3.05,   31.51,   18.35,    4.56,    3.34,   27.53,    1.91,   25.12,    3.70,              5.94,   23.43,   98.37,   78.02,    1.89,    1.72
4.03161,9.21461,2021,03,09,    2.79,    1.44,    2.38,    3.08,   32.20,   18.36,    4.70,    3.31,   27.97,    2.33,   25.00,    3.76,              5.26,   23.44,   98.27,   75.98,    1.91,    1.74
4.03161,9.21461,2021,03,10,    1.49,    1.80,    2.40,    3.22,   29.80,   18.94,    4.22,    4.51,   27.10,    1.75,   25.51,    3.55,              4.61,   23.91,   98.28,   82.49,    2.73,    1.75
4.03161,9.21461,2021,03,11,    1.96,    1.83,    2.30,    3.18,   28.17,   19.13,    4.09,    4.87,   26.39,    1.51,   25.34,    3.34,              5.72,   24.04,   98.32,   86.84,    2.13,    1.66
4.03161,9.21461,2021,03,12,    1.87,    1.67,    2.08,    2.83,   29.97,   18.29,    3.69,   10.70,   26.67,    0.82,   24.58,    2.49,              4.54,   23.34,   98.28,   81.74,    1.82,    1.49
4.03161,9.21461,2021,03,13,    1.00,    1.91,    2.44,    3.25,   29.43,   18.39,    3.68,    5.55,   26.58,    1.15,   24.90,    3.06,              4.51,   23.42,   98.37,   82.61,    2.68,    1.75
4.03161,9.21461,2021,03,14,    2.15,    2.14,    2.97,    3.99,   28.20,   18.24,    5.17,    4.82,   25.87,    1.87,   24.72,    4.00,              2.65,   23.28,   98.40,   85.52,    3.02,    2.15
4.03161,9.21461,2021,03,15,    3.70,    0.97,    1.93,    2.70,   27.69,   17.45,    4.68,    1.87,   25.62,    1.97,   24.42,    2.93,-999,   22.56,   98.34,   83.04,    0.98,    1.38
4.03161,9.21461,2021,03,16,    1.93,    1.22,    1.71,    2.23,   29.22,   17.50,    3.19,    1.45,   26.13,    1.45,   24.21,    2.67,              4.65,   22.62,   98.32,   80.77,    1.26,    1.25
4.03161,9.21461,2021,03,17,    1.59,    1.22,    1.99,    2.58,   27.42,   17.52,    3.18,    1.11,   25.39,    1.70,   24.22,    2.92,              5.05,   22.62,   98.40,   84.56,    1.59,    1.46
4.03161,9.21461,2021,03,18,    3.23,    0.49,    1.63,    2.15,   28.76,   17.26,    3.78,    0.92,   25.96,    2.12,   24.19,    2.61,              4.60,   22.41,   98.36,   80.52,    0.55,    1.21
4.03161,9.21461,2021,03,19,    3.72,    0.29,    1.86,    2.61,   28.31,   18.11,    4.01,    8.78,   25.67,    2.53,   24.31,    2.82,              4.52,   23.14,   98.32,   85.84,    0.29,    1.36
4.03161,9.21461,2021,03,20,    2.31,    1.01,    1.72,    2.27,   28.10,   17.64,    3.66,    1.73,   25.69,    1.35,   24.20,    2.36,              3.74,   22.74,   98.38,   83.57,    1.35,    1.27
4.03161,9.21461,2021,03,21,    2.33,    1.02,    1.90,    2.53,   29.87,   17.26,    3.63,    0.50,   26.39,    1.72,   23.97,    2.74,              6.03,   22.41,   98.31,   78.44,    1.30,    1.37
4.03161,9.21461,2021,03,22,    1.52,    1.72,    2.29,    3.09,   28.88,   17.97,    3.87,    5.14,   26.03,    1.28,   24.41,    3.00,              2.46,   23.03,   98.32,   83.41,    2.35,    1.69
4.03161,9.21461,2021,03,23,    2.84,    1.37,    2.05,    2.79,   30.02,   17.74,    4.33,    4.57,   26.44,    1.50,   24.02,    2.87,              5.72,   22.87,   98.45,   80.49,    1.49,    1.49
4.03161,9.21461,2021,03,24,    1.19,    2.06,    2.84,    3.92,   26.17,   18.39,    4.47,   50.21,   24.93,    1.56,   23.82,    3.61,              2.05,   23.40,   98.54,   91.31,    3.28,    2.09
4.03161,9.21461,2021,03,25,    0.99,    1.84,    2.21,    2.97,   27.64,   17.97,    3.38,    6.32,   25.13,    0.91,   23.53,    2.75,              4.32,   23.03,   98.52,   88.13,    2.40,    1.61
4.03161,9.21461,2021,03,26,    3.00,    0.41,    1.29,    1.77,   28.15,   18.09,    3.37,    2.13,   25.86,    1.65,   24.08,    2.06,              5.54,   23.16,   98.49,   84.96,    0.37,    0.89
4.03161,9.21461,2021,03,27,    3.01,    0.76,    1.67,    2.22,   30.03,   18.50,    3.57,    0.29,   26.73,    1.52,   24.66,    2.28,              4.76,   23.54,   98.41,   82.42,    0.56,    1.17
4.03161,9.21461,2021,03,28,    3.19,    0.47,    1.46,    1.93,   30.23,   18.73,    3.84,    0.09,   26.93,    2.01,   24.95,    2.48,              5.82,   23.74,   98.38,   82.50,    0.65,    1.06
4.03161,9.21461,2021,03,29,    3.48,    0.11,    1.70,    2.22,   29.83,   18.50,    3.63,    0.07,   26.82,    2.80,   25.01,    2.91,              4.59,   23.54,   98.43,   82.03,    0.16,    1.23
4.03161,9.21461,2021,03,30,    3.89,    0.85,    1.98,    2.63,   31.53,   18.25,    5.05,    0.04,   27.48,    2.60,   25.00,    3.45,              5.85,   23.35,   98.36,   77.83,    1.15,    1.43
4.03161,9.21461,2021,03,31,    3.85,    0.55,    1.91,    2.63,   28.64,   18.90,    4.26,    4.28,   26.18,    2.22,   24.62,    2.78,-999,   23.84,   98.34,   86.88,    0.41,    1.38
4.03161,9.21461,2021,04,01,    3.78,    0.22,    1.57,    2.20,   30.08,   18.59,    4.26,    2.15,   26.90,    2.41,   25.06,    2.63,              5.74,   23.61,   98.38,   81.97,    0.48,    1.12
4.03161,9.21461,2021,04,02,    2.20,    1.15,    1.81,    2.49,   28.51,   19.21,    3.42,    5.48,   26.45,    0.95,   25.12,    2.11,              5.46,   24.13,   98.46,   87.04,    1.22,    1.27
4.03161,9.21461,2021,04,03,    3.48,    0.11,    1.19,    1.68,   28.62,   18.67,    3.78,    1.40,   26.50,    2.18,   25.09,    2.29,              5.71,   23.66,   98.37,   84.30,    0.29,    0.85
4.03161,9.21461,2021,04,04,    3.50,    0.33,    1.55,    2.19,   29.10,   19.18,    4.00,    2.64,   26.55,    2.15,   25.15,    2.47,              6.14,   24.10,   98.37,   86.32,    0.51,    1.09
4.03161,9.21461,2021,04,05,    3.38,    1.14,    2.14,    3.00,   29.07,   19.26,    4.57,    2.99,   26.53,    2.00,   24.81,    3.14,              5.69,   24.16,   98.37,   86.76,    1.19,    1.54
4.03161,9.21461,2021,04,06,    2.54,    1.44,    1.97,    2.80,   28.33,   19.65,    4.07,    8.24,   26.41,    1.05,   25.24,    2.48,              4.57,   24.48,   98.39,   89.15,    1.53,    1.39
4.03161,9.21461,2021,04,07,    3.89,    0.70,    1.78,    2.50,   29.84,   19.32,    4.53,    4.64,   27.03,    2.10,   25.05,    2.80,              5.92,   24.23,   98.38,   84.55,    0.64,    1.26
4.03161,9.21461,2021,04,08,    1.91,    1.50,    1.96,    2.75,   27.70,   19.80,    3.95,    7.92,   26.30,    0.88,   25.31,    2.37,              4.62,   24.60,   98.39,   90.40,    2.04,    1.39
4.03161,9.21461,2021,04,09,    1.65,    1.46,    1.87,    2.54,   27.55,   19.34,    3.22,    8.11,   26.00,    0.77,   24.75,    2.23,              4.86,   24.20,   98.29,   89.84,    1.57,    1.31
4.03161,9.21461,2021,04,10,    2.68,    0.99,    1.50,    2.00,   28.79,   19.29,    3.67,    6.29,   26.71,    1.35,   25.28,    2.34,              5.79,   24.16,   98.21,   85.83,    0.99,    1.07
4.03161,9.21461,2021,04,11,    2.73,    0.80,    1.74,    2.43,   27.65,   19.41,    3.83,   15.33,   26.24,    1.78,   25.29,    2.58,              2.61,   24.27,   98.35,   88.95,    1.09,    1.22
4.03161,9.21461,2021,04,12,    1.90,    0.59,    1.34,    1.69,   29.88,   17.95,    2.62,    1.08,   27.02,    1.57,   24.17,    2.16,              4.44,   23.07,   98.43,   78.68,    0.72,    0.97
4.03161,9.21461,2021,04,13,    2.65,    0.29,    1.62,    2.09,   27.96,   18.41,    2.91,    4.96,   26.21,    2.07,   24.32,    2.36,              3.58,   23.46,   98.53,   84.68,    0.26,    1.17
4.03161,9.21461,2021,04,14,    4.36,    0.43,    2.21,    2.89,   28.70,   17.90,    4.95,    4.32,   26.31,    3.68,   24.21,    4.11,              5.52,   23.01,   98.51,   81.85,    0.59,    1.58
4.03161,9.21461,2021,04,15,    3.05,    0.36,    1.54,    2.08,   28.92,   18.35,    3.40,    3.08,   26.33,    1.94,   24.36,    2.29,              5.68,   23.39,   98.39,   83.76,    0.35,    1.06
4.03161,9.21461,2021,04,16,    2.81,    0.39,    1.54,    2.00,   27.72,   18.52,    3.26,    7.72,   26.00,    1.79,   24.78,    2.18,-999,   23.51,   98.31,   86.07,    0.45,    1.12
4.03161,9.21461,2021,04,17,    2.73,    0.87,    1.83,    2.43,   28.10,   18.92,    3.83,    6.34,   26.02,    1.73,   24.78,    2.60,-999,   23.85,   98.32,   87.83,    1.09,    1.33
4.03161,9.21461,2021,04,18,    0.98,    1.78,    2.19,    3.02,   27.57,   19.06,    3.55,    5.49,   25.97,    0.68,   24.81,    2.46,-999,   23.99,   98.43,   88.82,    2.57,    1.53
4.03161,9.21461,2021,04,19,    1.46,    1.47,    2.02,    2.66,   28.21,   19.05,    3.44,    3.30,   26.22,    1.06,   24.94,    2.53,-999,   23.98,   98.41,   87.46,    1.98,    1.42
4.03161,9.21461,2021,04,20,    2.02,    0.94,    1.72,    2.27,   27.82,   19.02,    3.02,    5.67,   26.17,    1.15,   24.84,    2.08,-999,   23.95,   98.36,   87.51,    1.00,    1.20
4.03161,9.21461,2021,04,21,    3.72,    0.38,    1.78,    2.43,   29.30,   18.93,    4.23,    4.43,   26.80,    2.43,   25.27,    2.81,-999,   23.90,   98.35,   83.97,    0.52,    1.28
4.03161,9.21461,2021,04,22,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
4.03161,9.21461,2021,04,23,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
