,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
56,Heritage Bank of North Florida,Orange Park,FL,26680,FirstAtlantic Bank,"April 19, 2013","August 8, 2016"
57,First Federal Bank,Lexington,KY,29594,Your Community Bank,"April 19, 2013","December 12, 2016"
58,Gold Canyon Bank,Gold Canyon,AZ,58066,"First Scottsdale Bank, National Association","April 5, 2013","October 6, 2017"
59,Frontier Bank,LaGrange,GA,16431,HeritageBank of the South,"March 8, 2013","November 13, 2017"
60,Covenant Bank,Chicago,IL,22476,Liberty Bank and Trust Company,"February 15, 2013","September 21, 2015"
61,1st Regents Bank,Andover,MN,57157,First Minnesota Bank,"January 18, 2013","July 12, 2016"
62,Westside Community Bank,University Place,WA,33997,Sunwest Bank,"January 11, 2013","August 8, 2016"
63,Community Bank of the Ozarks,Sunrise Beach,MO,27331,Bank of Sullivan,"December 14, 2012","April 4, 2014"
64,Hometown Community Bank,Braselton,GA,57928,"CertusBank, National Association","November 16, 2012","October 6, 2017"
65,Citizens First National Bank,Princeton,IL,3731,Heartland Bank and Trust Company,"November 2, 2012","November 22, 2013"
66,Heritage Bank of Florida,Lutz,FL,35009,Centennial Bank,"November 2, 2012","March 21, 2014"
67,NOVA Bank,Berwyn,PA,27148,No Acquirer,"October 26, 2012","January 24, 2013"
68,Excel Bank,Sedalia,MO,19189,Simmons First National Bank,"October 19, 2012","October 22, 2013"
69,First East Side Savings Bank,Tamarac,FL,28144,Stearns Bank N.A.,"October 19, 2012","January 6, 2016"
70,GulfSouth Private Bank,Destin,FL,58073,SmartBank,"October 19, 2012","March 21, 2014"
71,First United Bank,Crete,IL,20685,"Old Plank Trail Community Bank, National Association","September 28, 2012","November 1, 2013"
72,Truman Bank,St. Louis,MO,27316,Simmons First National Bank,"September 14, 2012","December 17, 2012"
73,First Commercial Bank,Bloomington,MN,35246,Republic Bank & Trust Company,"September 7, 2012","December 17, 2012"
74,Waukegan Savings Bank,Waukegan,IL,28243,First Midwest Bank,"August 3, 2012","December 7, 2015"
75,Jasper Banking Company,Jasper,GA,16240,Stearns Bank N.A.,"July 27, 2012","March 21, 2014"
76,Second Federal Savings and Loan Association of Chicago,Chicago,IL,27986,Hinsdale Bank & Trust Company,"July 20, 2012","January 14, 2013"
77,Heartland Bank,Leawood,KS,1361,Metcalf Bank,"July 20, 2012","July 30, 2013"
78,First Cherokee State Bank,Woodstock,GA,32711,Community & Southern Bank,"July 20, 2012","October 6, 2017"
79,Georgia Trust Bank,Buford,GA,57847,Community & Southern Bank,"July 20, 2012","October 6, 2017"
80,The Royal Palm Bank of Florida,Naples,FL,57096,First National Bank of the Gulf Coast,"July 20, 2012","March 21, 2014"
81,Glasgow Savings Bank,Glasgow,MO,1056,Regional Missouri Bank,"July 13, 2012","August 19, 2014"
82,Montgomery Bank & Trust,Ailey,GA,19498,Ameris Bank,"July 6, 2012","March 21, 2014"
83,The Farmers Bank of Lynchburg,Lynchburg,TN,1690,Clayton Bank and Trust,"June 15, 2012","August 8, 2016"
84,Security Exchange Bank,Marietta,GA,35299,Fidelity Bank,"June 15, 2012","March 21, 2014"
85,Putnam State Bank,Palatka,FL,27405,Harbor Community Bank,"June 15, 2012","March 21, 2014"
86,Waccamaw Bank,Whiteville,NC,34515,First Community Bank,"June 8, 2012","March 21, 2014"
87,Farmers' and Traders' State Bank,Shabbona,IL,9257,First State Bank,"June 8, 2012","October 10, 2012"
88,Carolina Federal Savings Bank,Charleston,SC,35372,Bank of North Carolina,"June 8, 2012","March 21, 2014"
89,First Capital Bank,Kingfisher,OK,416,F & M Bank,"June 8, 2012","February 5, 2015"
90,"Alabama Trust Bank, National Association",Sylacauga,AL,35224,Southern States Bank,"May 18, 2012","September 21, 2015"
91,"Security Bank, National Association",North Lauderdale,FL,23156,Banesco USA,"May 4, 2012","April 12, 2016"
92,Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,"April 27, 2012","December 7, 2015"
93,Plantation Federal Bank,Pawleys Island,SC,32503,First Federal Bank,"April 27, 2012","November 10, 2016"
94,"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,31495,Great Southern Bank,"April 27, 2012","May 17, 2013"
95,HarVest Bank of Maryland,Gaithersburg,MD,57766,Sonabank,"April 27, 2012","September 21, 2015"
96,Bank of the Eastern Shore,Cambridge,MD,26759,No Acquirer,"April 27, 2012","October 17, 2012"
97,"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,35527,Alma Bank,"April 20, 2012","May 17, 2013"
98,Fidelity Bank,Dearborn,MI,33883,The Huntington National Bank,"March 30, 2012","February 4, 2014"
99,Premier Bank,Wilmette,IL,35419,International Bank of Chicago,"March 23, 2012","October 17, 2012"
100,Covenant Bank & Trust,Rock Spring,GA,58068,"Stearns Bank, N.A.","March 23, 2012","March 21, 2014"
101,New City Bank,Chicago,IL,57597,No Acquirer,"March 9, 2012","October 29, 2012"
102,Global Commerce Bank,Doraville,GA,34046,Metro City Bank,"March 2, 2012","June 26, 2014"
103,Home Savings of America,Little Falls,MN,29178,No Acquirer,"February 24, 2012","December 17, 2012"
104,Central Bank of Georgia,Ellaville,GA,5687,Ameris Bank,"February 24, 2012","March 21, 2014"
105,SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association","February 10, 2012","February 19, 2015"
106,Charter National Bank and Trust,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association","February 10, 2012","March 25, 2013"
107,BankEast,Knoxville,TN,19869,"U.S. Bank, N.A.","January 27, 2012","December 7, 2015"
108,Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,"January 27, 2012","November 13, 2017"
109,Tennessee Commerce Bank,Franklin,TN,35296,Republic Bank & Trust Company,"January 27, 2012","March 21, 2014"
110,First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.","January 27, 2012","July 11, 2016"
111,American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.","January 20, 2012","November 1, 2017"
112,The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,"January 20, 2012","March 21, 2014"
113,Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.","January 20, 2012","June 6, 2016"
114,Western National Bank,Phoenix,AZ,57917,Washington Federal,"December 16, 2011","February 5, 2015"
115,Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,"December 16, 2011","November 1, 2017"
116,Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,"November 18, 2011","February 5, 2015"
117,Polk County Bank,Johnston,IA,14194,Grinnell State Bank,"November 18, 2011","August 15, 2012"
118,Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,"November 10, 2011","March 21, 2014"
119,SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,"November 4, 2011","August 9, 2017"
120,"Mid City Bank, Inc.",Omaha,NE,19397,Premier Bank,"November 4, 2011","August 15, 2012"
121,All American Bank,Des Plaines,IL,57759,International Bank of Chicago,"October 28, 2011","August 15, 2012"
122,Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.","October 21, 2011","January 2, 2013"
123,Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,"October 21, 2011","January 6, 2016"
124,Decatur First Bank,Decatur,GA,34392,Fidelity Bank,"October 21, 2011","March 21, 2014"
125,Old Harbor Bank,Clearwater,FL,57537,1st United Bank,"October 21, 2011","October 6, 2017"
126,Country Bank,Aledo,IL,35395,Blackhawk Bank & Trust,"October 14, 2011","April 13, 2017"
127,First State Bank,Cranford,NJ,58046,Northfield Bank,"October 14, 2011","October 23, 2017"
128,"Blue Ridge Savings Bank, Inc.",Asheville,NC,32347,Bank of North Carolina,"October 14, 2011","March 21, 2014"
129,Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,"October 14, 2011","March 21, 2014"
130,Sun Security Bank,Ellington,MO,20115,Great Southern Bank,"October 7, 2011","May 8, 2017"
131,The RiverBank,Wyoming,MN,10216,Central Bank,"October 7, 2011","November 7, 2012"
132,First International Bank,Plano,TX,33513,American First National Bank,"September 30, 2011","February 5, 2015"
133,Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,"September 23, 2011","October 9, 2012"
134,Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,"September 23, 2011","October 9, 2012"
135,The First National Bank of Florida,Milton,FL,25155,CharterBank,"September 9, 2011","March 21, 2014"
136,CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,"September 2, 2011","June 23, 2017"
137,Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,"September 2, 2011","June 28, 2017"
138,First Choice Bank,Geneva,IL,57212,Inland Bank & Trust,"August 19, 2011","February 5, 2015"
139,First Southern National Bank,Statesboro,GA,57239,Heritage Bank of the South,"August 19, 2011","March 2, 2016"
140,Lydian Private Bank,Palm Beach,FL,35356,"Sabadell United Bank, N.A.","August 19, 2011","March 21, 2014"
141,Public Savings Bank,Huntingdon Valley,PA,34130,"Capital Bank, N.A.","August 18, 2011","November 1, 2017"
142,The First National Bank of Olathe,Olathe,KS,4744,Enterprise Bank & Trust,"August 12, 2011","August 23, 2012"
143,Bank of Whitman,Colfax,WA,22528,Columbia State Bank,"August 5, 2011","August 16, 2012"
144,Bank of Shorewood,Shorewood,IL,22637,Heartland Bank and Trust Company,"August 5, 2011","October 20, 2016"
145,Integra Bank National Association,Evansville,IN,4392,Old National Bank,"July 29, 2011","August 16, 2012"
146,"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,"July 29, 2011","October 6, 2017"
147,Virginia Business Bank,Richmond,VA,58283,Xenith Bank,"July 29, 2011","October 9, 2012"
148,Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.","July 22, 2011","September 12, 2012"
149,LandMark Bank of Florida,Sarasota,FL,35244,American Momentum Bank,"July 22, 2011","March 21, 2014"
150,Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,"July 22, 2011","February 5, 2015"
151,Summit Bank,Prescott,AZ,57442,The Foothills Bank,"July 15, 2011","August 19, 2014"
152,First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.","July 15, 2011","July 12, 2016"
153,High Trust Bank,Stockbridge,GA,19554,Ameris Bank,"July 15, 2011","March 21, 2014"
154,One Georgia Bank,Atlanta,GA,58238,Ameris Bank,"July 15, 2011","March 21, 2014"
155,Signature Bank,Windsor,CO,57835,Points West Community Bank,"July 8, 2011","October 26, 2012"
156,Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,"July 8, 2011","November 10, 2016"
157,First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,"July 8, 2011","September 9, 2012"
158,Mountain Heritage Bank,Clayton,GA,57593,First American Bank and Trust Company,"June 24, 2011","February 9, 2017"
159,First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,"June 17, 2011","September 12, 2016"
160,McIntosh State Bank,Jackson,GA,19237,Hamilton State Bank,"June 17, 2011","March 21, 2014"
161,Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.","June 3, 2011","March 21, 2014"
162,First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,"May 27, 2011","October 23, 2017"
163,Summit Bank,Burlington,WA,513,Columbia State Bank,"May 20, 2011","October 23, 2017"
164,First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association","May 20, 2011","October 6, 2017"
165,Atlantic Southern Bank,Macon,GA,57213,"CertusBank, National Association","May 20, 2011","October 6, 2017"
166,Coastal Bank,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank, N.A.","May 6, 2011","September 21, 2015"
167,Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,"April 29, 2011","April 13, 2017"
168,The Park Avenue Bank,Valdosta,GA,19797,Bank of the Ozarks,"April 29, 2011","March 21, 2014"
169,First Choice Community Bank,Dallas,GA,58539,Bank of the Ozarks,"April 29, 2011","September 21, 2015"
170,Cortez Community Bank,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank, N.A.","April 29, 2011","August 8, 2016"
171,First National Bank of Central Florida,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank, N.A.","April 29, 2011","May 4, 2016"
172,Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,"April 15, 2011","March 21, 2014"
173,Rosemount National Bank,Rosemount,MN,24099,Central Bank,"April 15, 2011","December 7, 2015"
174,Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association","April 15, 2011","March 21, 2014"
175,Nexity Bank,Birmingham,AL,19794,AloStar Bank of Commerce,"April 15, 2011","March 21, 2014"
176,New Horizons Bank,East Ellijay,GA,57705,Citizens South Bank,"April 15, 2011","November 13, 2017"
177,Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,"April 15, 2011","March 21, 2014"
178,Nevada Commerce Bank,Las Vegas,NV,35418,City National Bank,"April 8, 2011","September 9, 2012"
179,Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,"April 8, 2011","January 22, 2013"
180,The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,"March 25, 2011","October 6, 2017"
181,Legacy Bank,Milwaukee,WI,34818,Seaway Bank and Trust Company,"March 11, 2011","September 12, 2012"
182,First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,"March 11, 2011","April 13, 2017"
183,Valley Community Bank,St. Charles,IL,34187,First State Bank,"February 25, 2011","February 5, 2015"
184,"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,"February 18, 2011","September 12, 2016"
185,Charter Oak Bank,Napa,CA,57855,Bank of Marin,"February 18, 2011","September 12, 2012"
186,Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,"February 18, 2011","March 21, 2014"
187,Habersham Bank,Clarkesville,GA,151,SCBT National Association,"February 18, 2011","October 6, 2017"
188,Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,"February 11, 2011","August 19, 2014"
189,Badger State Bank,Cassville,WI,13272,Royal Bank,"February 11, 2011","September 12, 2012"
190,Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,"February 11, 2011","October 6, 2017"
191,Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.","February 11, 2011","August 8, 2016"
192,Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,"February 4, 2011","August 20, 2012"
193,North Georgia Bank,Watkinsville,GA,35242,BankSouth,"February 4, 2011","September 19, 2017"
194,American Trust Bank,Roswell,GA,57432,Renasant Bank,"February 4, 2011","March 21, 2014"
195,First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.","January 28, 2011","September 12, 2012"
196,FirsTier Bank,Louisville,CO,57646,No Acquirer,"January 28, 2011","September 12, 2012"
197,Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,"January 28, 2011","September 12, 2012"
198,The First State Bank,Camargo,OK,2303,Bank 7,"January 28, 2011","November 13, 2017"
199,United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,"January 21, 2011","September 12, 2012"
200,The Bank of Asheville,Asheville,NC,34516,First Bank,"January 21, 2011","March 21, 2014"
201,CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association","January 21, 2011","June 6, 2016"
202,Enterprise Banking Company,McDonough,GA,19758,No Acquirer,"January 21, 2011","March 21, 2014"
203,Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,"January 14, 2011","November 13, 2017"
204,Legacy Bank,Scottsdale,AZ,57820,Enterprise Bank & Trust,"January 7, 2011","April 12, 2016"
205,First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,"January 7, 2011","June 6, 2016"
206,Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,"December 17, 2010","November 10, 2016"
207,First Southern Bank,Batesville,AR,58052,Southern Bank,"December 17, 2010","August 20, 2012"
208,"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,"December 17, 2010","October 17, 2015"
209,"Appalachian Community Bank, FSB",McCaysville,GA,58495,Peoples Bank of East Tennessee,"December 17, 2010","March 21, 2014"
210,Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,"December 17, 2010","September 21, 2015"
211,"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,"December 17, 2010","March 21, 2014"
212,Earthstar Bank,Southampton,PA,35561,Polonia Bank,"December 10, 2010","October 6, 2017"
213,Paramount Bank,Farmington Hills,MI,34673,Level One Bank,"December 10, 2010","September 21, 2015"
214,First Banking Center,Burlington,WI,5287,First Michigan Bank,"November 19, 2010","August 20, 2012"
215,Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,"November 19, 2010","July 26, 2017"
216,Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,"November 19, 2010","December 12, 2016"
217,Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.","November 12, 2010","August 20, 2012"
218,Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,"November 12, 2010","March 21, 2014"
219,Tifton Banking Company,Tifton,GA,57831,Ameris Bank,"November 12, 2010","March 21, 2014"
220,First Vietnamese American Bank  In Vietnamese,Westminster,CA,57885,Grandpoint Bank,"November 5, 2010","September 12, 2012"
221,Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,"November 5, 2010","October 19, 2015"
222,Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,"November 5, 2010","September 12, 2016"
223,K Bank,Randallstown,MD,31263,Manufacturers and Traders Trust Company (M&T Bank),"November 5, 2010","August 20, 2012"
224,"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,"October 22, 2010","August 20, 2012"
225,Hillcrest Bank,Overland Park,KS,22173,"Hillcrest Bank, N.A.","October 22, 2010","August 20, 2012"
226,First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,"October 22, 2010","August 20, 2012"
227,The First National Bank of Barnesville,Barnesville,GA,2119,United Bank,"October 22, 2010","October 17, 2015"
228,The Gordon Bank,Gordon,GA,33904,Morris Bank,"October 22, 2010","March 21, 2014"
229,Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,"October 22, 2010","February 4, 2016"
230,First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,"October 22, 2010","March 21, 2014"
231,Premier Bank,Jefferson City,MO,34016,Providence Bank,"October 15, 2010","August 20, 2012"
232,WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,"October 15, 2010","February 9, 2017"
233,"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,"October 15, 2010","August 20, 2012"
234,Shoreline Bank,Shoreline,WA,35250,GBC International Bank,"October 1, 2010","August 20, 2012"
235,Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,"October 1, 2010","March 21, 2014"
236,North County Bank,Arlington,WA,35053,Whidbey Island Bank,"September 24, 2010","October 6, 2017"
237,Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,"September 24, 2010","July 11, 2016"
238,Maritime Savings Bank,West Allis,WI,28612,"North Shore Bank, FSB","September 17, 2010","August 20, 2012"
239,Bramble Savings Bank,Milford,OH,27808,Foundation Bank,"September 17, 2010","August 20, 2012"
240,The Peoples Bank,Winder,GA,182,Community & Southern Bank,"September 17, 2010","October 6, 2017"
241,First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,"September 17, 2010","October 6, 2017"
242,Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,"September 17, 2010","October 6, 2017"
243,ISN Bank,Cherry Hill,NJ,57107,Customers Bank,"September 17, 2010","June 28, 2017"
244,Horizon Bank,Bradenton,FL,35061,Bank of the Ozarks,"September 10, 2010","March 21, 2014"
245,Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,"August 20, 2010","September 12, 2012"
246,Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,"August 20, 2010","September 12, 2012"
247,Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.","August 20, 2010","September 12, 2012"
248,Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.","August 20, 2010","September 12, 2012"
249,ShoreBank,Chicago,IL,15640,Urban Partnership Bank,"August 20, 2010","May 16, 2013"
250,Imperial Savings and Loan Association,Martinsville,VA,31623,"River Community Bank, N.A.","August 20, 2010","October 6, 2017"
251,Independent National Bank,Ocala,FL,27344,"CenterState Bank of Florida, N.A.","August 20, 2010","October 20, 2016"
252,Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.","August 20, 2010","July 11, 2016"
253,Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,"August 13, 2010","August 22, 2012"
254,Ravenswood Bank,Chicago,IL,34231,Northbrook Bank & Trust Company,"August 6, 2010","August 22, 2012"
255,LibertyBank,Eugene,OR,31964,Home Federal Bank,"July 30, 2010","October 6, 2017"
256,The Cowlitz Bank,Longview,WA,22643,Heritage Bank,"July 30, 2010","August 22, 2012"
257,Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,"July 30, 2010","February 9, 2017"
258,Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,"July 30, 2010","December 12, 2016"
259,Northwest Bank & Trust,Acworth,GA,57658,State Bank and Trust Company,"July 30, 2010","September 21, 2015"
260,Home Valley Bank,Cave Junction,OR,23181,South Valley Bank & Trust,"July 23, 2010","October 6, 2017"
